"Plot Title: baro_haiku"
"#","Date Time, GMT-10:00","Abs Pres, psi (LGR S/N: 21734658, SEN S/N: 21734658)","Temp, °F (LGR S/N: 21734658, SEN S/N: 21734658)"
1,04/23/23 11:00:00 PM,14.3257,80.029
2,04/23/23 11:15:00 PM,14.3206,76.703
3,04/23/23 11:30:00 PM,14.3165,73.407
4,04/23/23 11:45:00 PM,14.3155,72.028
5,04/24/23 12:00:00 AM,14.3132,71.683
6,04/24/23 12:15:00 AM,14.3116,71.683
7,04/24/23 12:30:00 AM,14.3096,71.512
8,04/24/23 12:45:00 AM,14.3064,71.512
9,04/24/23 01:00:00 AM,14.3048,71.512
10,04/24/23 01:15:00 AM,14.3045,71.339
11,04/24/23 01:30:00 AM,14.3029,71.339
12,04/24/23 01:45:00 AM,14.3012,71.339
13,04/24/23 02:00:00 AM,14.2977,71.168
14,04/24/23 02:15:00 AM,14.2977,71.168
15,04/24/23 02:30:00 AM,14.2925,70.995
16,04/24/23 02:45:00 AM,14.2888,70.824
17,04/24/23 03:00:00 AM,14.2888,70.824
18,04/24/23 03:15:00 AM,14.2885,70.651
19,04/24/23 03:30:00 AM,14.2865,70.480
20,04/24/23 03:45:00 AM,14.2865,70.480
21,04/24/23 04:00:00 AM,14.2846,70.308
22,04/24/23 04:15:00 AM,14.2842,70.137
23,04/24/23 04:30:00 AM,14.2823,69.964
24,04/24/23 04:45:00 AM,14.2823,69.964
25,04/24/23 05:00:00 AM,14.2851,69.793
26,04/24/23 05:15:00 AM,14.2848,69.622
27,04/24/23 05:30:00 AM,14.2843,69.449
28,04/24/23 05:45:00 AM,14.2861,69.449
29,04/24/23 06:00:00 AM,14.2888,69.278
30,04/24/23 06:15:00 AM,14.2917,69.107
31,04/24/23 06:30:00 AM,14.2949,69.107
32,04/24/23 06:45:00 AM,14.2962,68.934
33,04/24/23 07:00:00 AM,14.3026,68.934
34,04/24/23 07:15:00 AM,14.3007,68.763
35,04/24/23 07:30:00 AM,14.3007,68.763
36,04/24/23 07:45:00 AM,14.3042,68.934
37,04/24/23 08:00:00 AM,14.3059,68.934
38,04/24/23 08:15:00 AM,14.3078,69.107
39,04/24/23 08:30:00 AM,14.3078,69.107
40,04/24/23 08:45:00 AM,14.3083,69.278
41,04/24/23 09:00:00 AM,14.3091,70.480
42,04/24/23 09:15:00 AM,14.3115,70.824
43,04/24/23 09:30:00 AM,14.3145,77.923
44,04/24/23 09:45:00 AM,14.3154,79.678
45,04/24/23 10:00:00 AM,14.3194,80.206
46,04/24/23 10:15:00 AM,14.3161,80.206
47,04/24/23 10:30:00 AM,14.3152,80.735
